"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"31",579,1,8.27887433329189,0.116276783002353,NA,"579_1"
"32",579,2,5.73843131799201,0.0776691144856917,NA,"579_2"
"33",579,3,3.73114236626908,0.0484431869555574,NA,"579_3"
"34",579,4,4.64500773411913,0.0627423533220902,NA,"579_4"
"35",579,5,7.08753701407984,0.100250983484092,NA,"579_5"
"36",580,1,4.2915439988652,0.0590149878788019,7,"580_1"
"37",580,2,7.01216435036917,0.0955316811307317,7,"580_2"
"38",580,3,3.46723550711784,0.0452889445371064,7,"580_3"
"39",580,4,5.45120422395627,0.0735261000140661,7,"580_4"
"40",580,5,8.22487053164514,0.113882099313602,7,"580_5"
"96",592,1,5.91602013639868,0.0477033842742792,6.10673254588127,"592_1"
"97",592,2,4.38465813730335,0.0353918029319353,6.10863831450362,"592_2"
"98",592,3,8.61389765546515,0.0726468640856532,6.06303166812427,"592_3"
"99",592,4,10.3373235010212,0.0915980090864133,6.0520997967396,"592_4"
"100",592,5,7.25832902688753,0.0591726681069814,6.07605223144204,"592_5"
"156",604,1,8.54265073822238,0.0696127010222106,NA,"604_1"
"157",604,2,3.79028751840744,0.0280926456007226,NA,"604_2"
"158",604,3,5.42409900107407,0.0414586424657844,NA,"604_3"
"159",604,4,6.88072221899226,0.0550568459765064,NA,"604_4"
"160",604,5,10.5467735129674,0.086412697545668,NA,"604_5"
"161",605,1,6.70454157124671,0.0545696638673877,NA,"605_1"
"162",605,2,5.32467280203671,0.0420046578358784,NA,"605_2"
"163",605,3,8.19612368818037,0.0696637235253536,NA,"605_3"
"164",605,4,3.98092861881302,0.0338774779361904,NA,"605_4"
"165",605,5,10.2171846511879,0.0890100776335932,NA,"605_5"
"166",606,1,8.5009314846902,0.0726748557521398,NA,"606_1"
"167",606,2,6.02490147610089,0.0479641801498334,NA,"606_2"
"168",606,3,4.61910786871648,0.0340636443565097,NA,"606_3"
"169",606,4,7.22040669394861,0.0596830689633521,NA,"606_4"
"170",606,5,10.1782881314568,0.0891443378351542,NA,"606_5"
"171",607,1,5.71017201352334,0.0683935737155938,6.3877864965564,"607_1"
"172",607,2,3.75649688296683,0.0436052719755933,6.88466246939489,"607_2"
"173",607,3,6.94206642229566,0.0807677054265817,6.39995241116751,"607_3"
"174",607,4,4.71980728086205,0.0580770345380623,6.62454565788738,"607_4"
"175",607,5,8.29790835423088,0.0957054812514614,6.55785221741482,"607_5"
"176",608,1,5.66514162144166,0.0660499787393463,NA,"608_1"
"177",608,2,3.78463853921774,0.0428422976288252,NA,"608_2"
"178",608,3,4.73232036875859,0.0541674207091266,NA,"608_3"
"179",608,4,8.17308482154358,0.0754054696830906,NA,"608_4"
"180",608,5,6.7411491193649,0.0721544433535113,NA,"608_5"
"181",609,1,4.98711571449698,0.0517077440635362,6,"609_1"
"182",609,2,8.82898311258625,0.0746300369187758,6,"609_2"
"183",609,3,6.10616560166606,0.0640083037318735,6,"609_3"
"184",609,4,7.31847229889849,0.0702301169821007,6,"609_4"
"185",609,5,3.78952739381217,0.040625647513912,6,"609_5"
"196",612,1,4.43451800391859,0.0325508336366256,6,"612_1"
"197",612,2,10.4982425645086,0.0856866510344059,6,"612_2"
"198",612,3,8.85885948438819,0.0705970888255036,6,"612_3"
"199",612,4,7.42254810984189,0.0577978426905031,6,"612_4"
"200",612,5,6.03609144998639,0.0451518890124942,6,"612_5"
"201",613,1,8.68853059239544,0.0737439701408668,6,"613_1"
"202",613,2,3.7730674103904,0.0292340832798261,6,"613_2"
"203",613,3,7.03471899659595,0.0578338071247357,6,"613_3"
"204",613,4,5.50847958204693,0.0418548982492233,6,"613_4"
"205",613,5,10.5344812113192,0.0931744626320603,6,"613_5"
"206",614,1,9.69702681658007,0.0803599808881426,NA,"614_1"
"207",614,2,3.15227776867894,0.0274773544162998,NA,"614_2"
"208",614,3,7.44790828777156,0.0633753040721343,NA,"614_3"
"209",614,4,4.77961514957584,0.0398808959058469,NA,"614_4"
"210",614,5,5.88107462151798,0.0491825784888313,NA,"614_5"
"211",615,1,5.54613591195854,0.0441958056994892,6,"615_1"
"212",615,2,8.88689774511038,0.0716153890346286,6,"615_2"
"213",615,3,7.13106409195773,0.0578821317428175,6,"615_3"
"214",615,4,3.90697339382235,0.0315731096816719,6,"615_4"
"215",615,5,10.9816778726281,0.090717486257779,6,"615_5"
"216",616,1,4.20119938746461,0.0355943800592237,5.83399602385686,"616_1"
"217",616,2,8.18987943730894,0.0668312639698443,5.69779761910439,"616_2"
"218",616,3,9.93980467311899,0.0836562319569061,5.63419023136247,"616_3"
"219",616,4,6.87284419612399,0.0574962504825461,5.77484472049689,"616_4"
"220",616,5,5.6091053817658,0.0466957208342203,5.78710543989255,"616_5"
"221",617,1,9.47980577854826,0.072908854853974,5.94938719927372,"617_1"
"222",617,2,11.8097023241308,0.0933587263028742,5.94223433242507,"617_2"
"223",617,3,7.62210075382827,0.0574911848134534,5.9712703875505,"617_3"
"224",617,4,4.29051621841715,0.0338104051609604,5.97506696888523,"617_4"
"225",617,5,6.03091162801373,0.0458448425891432,5.97038486627528,"617_5"
"232",619,2,7.48185011220451,0.0649925647555436,6.00483949414326,"619_2"
"233",619,3,5.89107958127746,0.0515649583167592,6.00434797173642,"619_3"
"234",619,4,3.10150744102991,0.0287892317380679,6.00518564751622,"619_4"
"296",632,1,3.53718268091133,0.0457909766640782,NA,"632_1"
"297",632,2,6.65801603685127,0.0930961128658739,NA,"632_2"
"298",632,3,7.90556396671253,0.111367103856633,NA,"632_3"
"299",632,4,5.60959258740839,0.0778740912738443,NA,"632_4"
"300",632,5,4.57454407349234,0.0613697190680589,NA,"632_5"
"301",633,1,6.35756392065049,0.0780772445122492,4.93151574768817,"633_1"
"302",633,2,3.22861086727941,0.0379273361263325,4.93113603286367,"633_2"
"303",633,3,5.17771285178957,0.064981963349448,4.93273950969034,"633_3"
"304",633,4,8.14580617890143,0.0789367784877356,4.94174552656708,"633_4"
"305",633,5,4.2047802857911,0.0508420744973521,4.93494792816234,"633_5"
"306",634,1,8.59866893592363,0.0777683466092016,NA,"634_1"
"307",634,2,4.71341039592351,0.0486043916880801,NA,"634_2"
"308",634,3,3.51960664580168,0.0352150049472872,NA,"634_3"
"309",634,4,5.80908008392656,0.0647632340209453,NA,"634_4"
"310",634,5,7.06644286819565,0.0729772849148003,NA,"634_5"
"311",635,1,6.38176785999179,0.0798774807681083,NA,"635_1"
"312",635,2,5.20079112595161,0.0718745333053354,NA,"635_2"
"313",635,3,3.38466967843159,0.0450430415861613,NA,"635_3"
"314",635,4,4.26504681204955,0.0579272902694716,NA,"635_4"
"315",635,5,7.98246465962249,0.0866253558361776,NA,"635_5"
"321",637,1,7.69534470456422,0.0811995420925805,4.85810509530105,"637_1"
"322",637,2,5.27346583815559,0.0710590982409319,4.89247049947526,"637_2"
"323",637,3,3.49571199103685,0.0455858101335217,5.08841609908822,"637_3"
"324",637,4,4.33789652014178,0.0580762064699019,4.93206176924225,"637_4"
"325",637,5,6.38060750270665,0.0775294030450735,4.95792146817413,"637_5"
"326",638,1,8.85850855039575,0.0735293754134981,NA,"638_1"
"327",638,2,7.14514563730244,0.059136057454799,NA,"638_2"
"328",638,3,10.8700035940611,0.0868161262648914,NA,"638_3"
"329",638,4,4.01115296724502,0.032836751264343,NA,"638_4"
"330",638,5,5.65176610711071,0.0455780732834322,NA,"638_5"
"331",639,1,8.81584835864182,0.0677530991749725,NA,"639_1"
"332",639,2,10.9580836794996,0.0849361236818219,NA,"639_2"
"333",639,3,5.39295844302622,0.0400311371458702,NA,"639_3"
"334",639,4,6.95705901438274,0.0523119261287343,NA,"639_4"
"335",639,5,3.77753628840225,0.0276470199211321,NA,"639_5"
"341",641,1,7.11924754606733,0.0680205741366893,4.69449414597135,"641_1"
"342",641,2,4.9536371555188,0.0525530810991481,4.7623703102809,"641_2"
"343",641,3,8.44586036047317,0.071135379803048,4.62789621338369,"641_3"
"344",641,4,3.85400501891765,0.0407680997093329,4.94570619126857,"641_4"
"345",641,5,5.97729932100685,0.0635876884191878,4.73555159502917,"641_5"
"346",642,1,5.05477231505811,0.0676483575734863,5.9607689776722,"642_1"
"347",642,2,4.29808517189654,0.054485919253762,5.93852013914329,"642_2"
"348",642,3,3.49164367362677,0.0438486559148615,5.89085973498369,"642_3"
"349",642,4,6.89792457136576,0.0760455266457358,5.89300338697348,"642_4"
"350",642,5,5.94051292585515,0.0749099898643125,5.97042119838701,"642_5"
"356",644,1,6.30694701864177,0.0502315620509561,5.79884530133642,"644_1"
"357",644,2,9.1263085424322,0.0750587943833452,5.74852629738671,"644_2"
"358",644,3,4.76143639374229,0.0387163798066611,5.85261792519742,"644_3"
"359",644,4,10.7745868206485,0.0875072118129918,5.69159180284439,"644_4"
"360",644,5,7.72716167821148,0.0617041299114795,5.76910073559189,"644_5"
"376",648,1,6.26763618641286,0.0466136559749542,6.60572119432676,"648_1"
"377",648,2,7.2362869516341,0.0592167128991173,6.62109607478533,"648_2"
"378",648,3,9.66120270720656,0.0810297079785482,6.53985849129302,"648_3"
