"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"1",478,1,5.79117744421676,0.0804977848457479,5.07158229501876,"478_1"
"3",478,3,4.75090646213448,0.0706264503092491,5.09430415409665,"478_3"
"4",478,4,7.28986145857989,0.109652461124542,5.11986349859632,"478_4"
"5",478,5,5.34627073887497,0.0917155845532538,5.36003325116506,"478_5"
"6",479,1,6.22712085651644,0.0957627528168821,5.13679537520967,"479_1"
"16",481,1,7.82013037299066,0.116724510439403,4.71096657681007,"481_1"
"17",481,2,5.20590119373278,0.0763165995666498,5.17835863741877,"481_2"
"18",481,3,5.146612367148,0.0781062935160749,5.14851825280753,"481_3"
"19",481,4,6.18946569399958,0.0788636256046659,4.96380967006445,"481_4"
"20",481,5,5.91555300498484,0.082042266628888,4.87909774897889,"481_5"
"31",484,1,6.04456553742397,0.121366653423333,6.11754304317595,"484_1"
"32",484,2,6.64758252177766,0.113327914879419,5.12386857471349,"484_2"
"33",484,3,4.92570201998174,0.108266880761883,5.0454877455705,"484_3"
"35",484,5,4.9103848612577,0.0755320999895653,4.96672793601918,"484_5"
"36",485,1,4.48542014570641,0.0923570089716809,4.69881928217736,"485_1"
"37",485,2,6.59845982947627,0.127464804942233,4.7672286828359,"485_2"
"38",485,3,5.08380254667999,0.0748662119080576,4.51727250222121,"485_3"
"39",485,4,5.38097031783483,0.130998521725934,4.58202237219737,"485_4"
"40",485,5,6.55960459759643,0.105371054899088,4.39389375694816,"485_5"
"41",486,1,5.02574059321621,0.0719179792141236,4.62834336801419,"486_1"
"42",486,2,6.53844081825768,0.102534631845511,4.46222893183628,"486_2"
"43",486,3,5.65578654476788,0.0824501651599204,4.62517718468163,"486_3"
"44",486,4,4.37353454053935,0.0598694979967225,4.60778469083404,"486_4"
"45",486,5,5.24660764973223,0.0799681706590722,4.73118501912829,"486_5"
"46",487,1,7.16135497381441,0.111014472452801,4.39015528956982,"487_1"
"47",487,2,5.03786238481819,0.0789151585271153,4.63860043301542,"487_2"
"48",487,3,4.76823716372015,0.0657702793797072,4.60094722008587,"487_3"
"49",487,4,6.64987720136891,0.1035706192608,4.59557952421407,"487_4"
"50",487,5,5.21984033285918,0.0775458421290506,4.49189410267858,"487_5"
"51",488,1,5.40721716138546,0.0789371001667199,4.34415169992125,"488_1"
"52",488,2,6.94719426509182,0.132071120445444,4.47540576356677,"488_2"
"53",488,3,7.22790238237603,0.108318896423361,4.35487159699955,"488_3"
"54",488,4,4.99707130019501,0.0782399946317637,4.46979960682461,"488_4"
"55",488,5,6.46130796266313,0.0955119131480431,4.48018005414073,"488_5"
"56",489,1,5.2444097179868,0.0798573316612395,4.4264316118747,"489_1"
"57",489,2,5.80377281132904,0.0835319910946336,4.47224304481978,"489_2"
"58",489,3,5.01121006355141,0.0718262990377105,4.40063086596187,"489_3"
"59",489,4,7.17457958164224,0.103060118294059,4.41060528415182,"489_4"
"60",489,5,6.05640059675319,0.0839547283321898,4.26484590238541,"489_5"
"61",490,1,6.49932242273318,0.121960196149072,4.82431553704052,"490_1"
"62",490,2,5.39418144525357,0.0821007174601464,4.79600393206753,"490_2"
"63",490,3,5.07251995781343,0.0745170808459049,4.80097800044779,"490_3"
"64",490,4,6.40780485901588,0.0967396222570584,4.91287458414654,"490_4"
"65",490,5,4.90013112181675,0.0892621499294603,4.84885679244211,"490_5"
"66",491,1,4.94749645789064,0.0713737549008962,4.26188620183189,"491_1"
"67",491,2,5.66919409801532,0.0707398075096814,4.2711512967819,"491_2"
"68",491,3,7.9606872241798,0.110383930264305,4.25757418064823,"491_3"
"69",491,4,5.8057920975878,0.065224304124323,4.43955142934229,"491_4"
"70",491,5,6.62659434898483,0.102316630981241,4.24931801156306,"491_5"
"71",492,1,5.49167146505696,0.0782701106593965,4.32692926265917,"492_1"
"72",492,2,7.40130599370414,0.105428527651523,4.31855516970183,"492_2"
"73",492,3,5.91852212037826,0.0778379687964292,4.30498861463433,"492_3"
"74",492,4,5.5230576812437,0.0777908806132933,4.33215883892834,"492_4"
"75",492,5,5.59292075395502,0.0713272722146194,4.33041461329911,"492_5"
"76",493,1,6.19292109100427,0.0892988819649121,5.16160684745217,"493_1"
"77",493,2,8.08775132699833,0.125286059625796,5.35433007936334,"493_2"
"78",493,3,5.17805398808561,0.0919274742227145,5.31974516359848,"493_3"
"79",493,4,5.4139169877918,0.0928727996184695,4.71121121536141,"493_4"
"80",493,5,7.2088462990418,0.13244022739353,5.19832216088806,"493_5"
"81",494,1,7.79524006096802,0.129273178275078,5.04614053997536,"494_1"
"82",494,2,5.37271232204112,0.113040204303266,4.97920104551662,"494_2"
"83",494,3,7.34687692572883,0.137351251045488,4.9690985704388,"494_3"
"84",494,4,5.69931163582873,0.101111888462172,4.84887803976681,"494_4"
"85",494,5,6.71636322416005,0.100844278631386,5.07821994973251,"494_5"
"86",495,1,8.0076176609658,0.128792733697742,4.70414710587218,"495_1"
"87",495,2,5.70621510380164,0.0953357958227891,4.62582916186058,"495_2"
"88",495,3,5.7165671833047,0.115048335264928,4.83772226856061,"495_3"
"89",495,4,7.86702995545692,0.114616543559676,4.55485038141088,"495_4"
"90",495,5,6.18859444883949,0.0907062545215599,4.47368576865311,"495_5"
"91",496,1,6.12713378529476,0.0952216863346565,4.59803993629715,"496_1"
"92",496,2,8.68603942560403,0.129456387345806,4.66580280976155,"496_2"
"93",496,3,6.23522765849948,0.0843432393198062,4.73161586977971,"496_3"
"94",496,4,6.14602959882169,0.113232031673131,4.80105484436691,"496_4"
"95",496,5,8.30045981382619,0.15633660713636,4.81249116992487,"496_5"
"96",497,1,5.78821183247095,0.100198562468681,4.75185198099605,"497_1"
"97",497,2,6.16159353762702,0.108206375470113,4.64713564244184,"497_2"
"98",497,3,7.19422591221864,0.13885355962187,4.65320839326248,"497_3"
"99",497,4,7.98617840103347,0.127710700566515,4.7428372044802,"497_4"
"100",497,5,8.64278226174806,0.148583789359305,4.65266587071756,"497_5"
"101",498,1,5.74986069314248,0.0729025598642304,4.67165472632,"498_1"
"102",498,2,6.32522110691743,0.0863870652740274,4.64886807589271,"498_2"
"103",498,3,5.39852309751421,0.06407445627681,4.69829098815209,"498_3"
"104",498,4,8.6447744166886,0.103653638151956,4.67864273943241,"498_4"
"105",498,5,6.84173716008445,0.0798695553377405,4.69662055381014,"498_5"
"106",499,1,7.46092896407911,0.141524522785213,4.4501293354537,"499_1"
"107",499,2,8.07058096612026,0.127571584261546,4.43295871267964,"499_2"
"108",499,3,5.45946150882339,0.102050532134136,4.46580369596022,"499_3"
"109",499,4,6.01282699136657,0.0864189517492694,4.44630650421647,"499_4"
"110",499,5,6.86989805088773,0.112754989467152,4.46426272598781,"499_5"
"111",500,1,6.7946031760342,0.149195589157545,4.69582581223991,"500_1"
"112",500,2,5.10186347242608,0.10868597880171,4.59224169548806,"500_2"
"113",500,3,6.52381050133596,0.1418865756578,4.69055110187117,"500_3"
"114",500,4,4.89909367237063,0.107192324743976,4.70189110545379,"500_4"
"115",500,5,7.10291799608912,0.151352696327623,4.64729636315017,"500_5"
"116",501,1,6.62522259702399,0.150099437912069,4.34313266824762,"501_1"
"117",501,2,7.14826317328131,0.156466497928529,4.3864351759637,"501_2"
"118",501,3,5.53756267589364,0.106720904072642,4.38267853184661,"501_3"
"119",501,4,7.31620554956826,0.144368852835949,4.38011876086671,"501_4"
"120",501,5,4.99905738270576,0.108403036771308,4.36540378596592,"501_5"
"121",502,1,7.39571166825435,0.143972681219019,4.4745270654372,"502_1"
