"ECODISTRICT","LANDTYPE","Longitude","Latitude","No.Point","Elevation"
478,5,2071125,6968625,"478_5",215
478,5,2006125,7037375,"478_5",261
478,5,2010375,6948125,"478_5",314
478,5,2147625,7084125,"478_5",81
478,5,2012375,7050375,"478_5",274
478,5,2097375,7000375,"478_5",225
478,5,2015125,6941375,"478_5",373
478,5,2010125,6911875,"478_5",276
478,5,2152125,7012625,"478_5",137
478,5,1985375,6902875,"478_5",327
481,5,1970625,6904125,"481_5",452
481,5,1969125,6888875,"481_5",385
481,5,1961375,6869625,"481_5",449
481,5,1963625,6917125,"481_5",387
481,5,1965125,6911375,"481_5",408
481,5,1950375,6884875,"481_5",403
481,5,1991125,6888125,"481_5",452
481,5,1950375,6864875,"481_5",432
481,5,1968875,6954375,"481_5",368
481,5,1991875,6898125,"481_5",423
484,5,2051875,6911875,"484_5",249
484,5,2048625,6897875,"484_5",303
484,5,2037375,6909375,"484_5",252
484,5,2038625,6938375,"484_5",308
484,5,2066875,6916625,"484_5",338
484,5,2031625,6906625,"484_5",296
484,5,2052125,6930375,"484_5",290
484,5,2055625,6950625,"484_5",259
484,5,2021375,6912625,"484_5",301
484,5,2053625,6922375,"484_5",331
485,5,2095625,6932125,"485_5",317
485,5,2074125,6930625,"485_5",329
485,5,2091875,6916625,"485_5",381
485,5,2072875,6921875,"485_5",391
485,5,2078375,6926875,"485_5",366
485,5,2107375,6909375,"485_5",365
485,5,2091375,6923875,"485_5",356
485,5,2077375,6918625,"485_5",399
485,5,2092625,6933375,"485_5",320
485,5,2099875,6911375,"485_5",381
486,5,2005125,6848625,"486_5",217
486,5,2011375,6824875,"486_5",264
486,5,2017125,6859375,"486_5",207
486,5,2010125,6834625,"486_5",278
486,5,2045875,6887625,"486_5",196
486,5,2001875,6827125,"486_5",211
486,5,2048125,6891875,"486_5",184
486,5,2005625,6828375,"486_5",220
486,5,2013375,6826625,"486_5",279
486,5,2046375,6885625,"486_5",211
487,5,1977875,6845125,"487_5",302
487,5,1986625,6836125,"487_5",327
487,5,1970125,6849375,"487_5",385
487,5,1988125,6837625,"487_5",335
