"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"1",478,1,5.8434117982869,0.0862794008984006,5.14474647499594,"478_1"
"2",478,2,8.10463535146268,0.122057089111893,5.12694593977877,"478_2"
"3",478,3,4.99990998045291,0.075303216438123,5.13918149977613,"478_3"
"4",478,4,6.81489446155466,0.102056892190289,5.13684168817892,"478_4"
"5",478,5,3.97361747553555,0.0654967408354877,5.16901874590371,"478_5"
"6",479,1,5.68317105262408,0.0893937043904436,5.0408850465312,"479_1"
"7",479,2,7.96676313193153,0.122044667082587,5.06376176925981,"479_2"
"8",479,3,6.59834431154859,0.104035734962364,5.03812719272872,"479_3"
"9",479,4,3.92423990973824,0.0655941888873926,5.01534204637741,"479_4"
"10",479,5,4.92541550036515,0.0755400462920099,5.04568237624034,"479_5"
"11",480,1,6.68179257238012,0.0889804731573454,5.23034890994803,"480_1"
"12",480,2,4.26642322860038,0.0594590010842592,5.28769332398269,"480_2"
"13",480,3,5.11125308204813,0.0671769200462373,5.26520871940077,"480_3"
"14",480,4,7.93599449932931,0.111563068016573,5.19487469367193,"480_4"
"15",480,5,5.82547503854982,0.0743014715348187,5.25871096329614,"480_5"
"16",481,1,7.07199466215434,0.10383463360986,4.83478954740535,"481_1"
"17",481,2,8.70044810279451,0.127488145676371,4.6133682380555,"481_2"
"18",481,3,6.05719780061166,0.0865901389261247,4.94840868279254,"481_3"
"19",481,4,4.16835013701676,0.0595129482421621,5.17294766755757,"481_4"
"20",481,5,5.19615766994552,0.0729273366974191,5.13011720078369,"481_5"
"21",482,1,3.93502128135099,0.0567294739776173,4.63372169829134,"482_1"
"22",482,2,4.90042645311041,0.0689811679724033,4.59515985723854,"482_2"
"23",482,3,7.54741947481644,0.108539955282421,4.61043140163693,"482_3"
"24",482,4,6.53438999533404,0.0917928809902776,4.60907904408373,"482_4"
"25",482,5,5.70541805985184,0.0782475664571635,4.59967776247904,"482_5"
"46",487,1,5.80423117118651,0.0875894423796134,4.55931482946575,"487_1"
"47",487,2,3.99331652911845,0.0572834075284992,4.59142840371862,"487_2"
"48",487,3,4.95760678366762,0.0710493484354149,4.57962372051983,"487_3"
"49",487,4,6.83349160874169,0.108052783824748,4.53218864325562,"487_4"
"50",487,5,8.32039319919333,0.133999912441655,4.47889215219163,"487_5"
