LandisData "Dynamic Input Data"

>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.4

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.3			1.6774

>>	year	landtype	species	probEst	maxANPP	maxB

0	414_1	ABIE.BAL	0.445	309	1884
0	414_1	ACER.RUB	0.353	224	2394
0	414_1	ACER.SAH	0.353	581	3120
0	414_1	BETU.ALL	0.379	268	2837
0	414_1	BETU.PAP	0.537	230	1765
0	414_1	FAGU.GRA	0.33	282	4223
0	414_1	LARI.LAR	0.537	169	1356
0	414_1	PICE.GLA	0.445	406	4674
0	414_1	PICE.MAR	0.353	465	4523
0	414_1	PICE.RUB	0.276	1377	7337
0	414_1	PINU.BAN	0.537	518	5118
0	414_1	PINU.RES	0.41	456	4736
0	414_1	PINU.STR	0.41	345	3566
0	414_1	POPU.TRE	0.598	380	3824
0	414_1	QUER.RUB	0.31	975	5911
0	414_1	THUJ.SPP.ALL	0.292	292	3189
0	414_1	TSUG.CAN	0.261	224	2818
0	414_2	ABIE.BAL	0.487	295	2295
0	414_2	ACER.RUB	0.445	435	3020
0	414_2	ACER.SAH	0.353	524	4514
0	414_2	BETU.ALL	0.379	411	3223
0	414_2	BETU.PAP	0.537	343	2061
0	414_2	FAGU.GRA	0.33	357	4939
0	414_2	LARI.LAR	0.537	165	1716
0	414_2	PICE.GLA	0.445	588	6344
0	414_2	PICE.MAR	0.353	538	5606
0	414_2	PICE.RUB	0.292	911	7347
0	414_2	PINU.BAN	0.537	706	5468
0	414_2	PINU.RES	0.41	495	5324
0	414_2	PINU.STR	0.41	419	4149
0	414_2	POPU.TRE	0.598	673	4355
0	414_2	QUER.RUB	0.33	594	7691
0	414_2	THUJ.SPP.ALL	0.292	295	3476
0	414_2	TSUG.CAN	0.261	242	3552
0	414_3	ABIE.BAL	0.487	310	2062
0	414_3	ACER.RUB	0.445	422	2718
0	414_3	ACER.SAH	0.33	412	4110
0	414_3	BETU.ALL	0.379	336	2972
