"simDir","species","averageMaxBiomassTarget","maxAnppMultiplier","maxBiomassMultiplier"
"01","ABIE.BAL",0.5,2.305,2.305
"02","ABIE.BAL",0.525,2.42,2.42
"03","ABIE.BAL",0.55,2.535,2.535
"04","ABIE.BAL",0.575,2.65,2.65
"05","ABIE.BAL",0.6,2.765,2.765
"06","ABIE.BAL",0.625,2.881,2.881
"07","ABIE.BAL",0.65,2.996,2.996
"08","ABIE.BAL",0.675,3.111,3.111
"09","ABIE.BAL",0.7,3.226,3.226
"10","ABIE.BAL",0.725,3.342,3.342
"11","ABIE.BAL",0.75,3.457,3.457
"12","ABIE.BAL",0.775,3.572,3.572
"13","ABIE.BAL",0.8,3.687,3.687
"14","ABIE.BAL",0.825,3.802,3.802
"15","ABIE.BAL",0.85,3.918,3.918
"16","ABIE.BAL",0.875,4.033,4.033
"17","ABIE.BAL",0.9,4.148,4.148
"18","ABIE.BAL",0.925,4.263,4.263
"19","ABIE.BAL",0.95,4.379,4.379
"20","ABIE.BAL",0.975,4.494,4.494
"21","ABIE.BAL",1,4.609,4.609
