"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"356",644,1,6.30694701864177,0.0502315620509561,5.79884530133642,"644_1"
"357",644,2,9.1263085424322,0.0750587943833452,5.74852629738671,"644_2"
"358",644,3,4.76143639374229,0.0387163798066611,5.85261792519742,"644_3"
"359",644,4,10.7745868206485,0.0875072118129918,5.69159180284439,"644_4"
"360",644,5,7.72716167821148,0.0617041299114795,5.76910073559189,"644_5"
"371",647,1,3.48758691748805,0.0423715375853157,5.60986661142342,"647_1"
"372",647,2,4.85790246540939,0.0641833318563365,5.60740686831659,"647_2"
"373",647,3,4.23001580221831,0.0534442297979126,5.62604535109502,"647_3"
"374",647,4,6.47080437773503,0.0743377342162051,5.57863621324999,"647_4"
"375",647,5,5.55540362683363,0.0710650416193685,5.59411564902757,"647_5"
"381",649,1,6.97579647343029,0.0703295381371346,5.48592881701535,"649_1"
"382",649,2,5.70532249583057,0.0729719016006337,5.475254606343,"649_2"
"383",649,3,4.23946597670312,0.0547361490478374,5.47680522624009,"649_3"
"384",649,4,3.42946274775203,0.0418000736241687,5.47680789765013,"649_4"
"385",649,5,4.91633295748877,0.0659641396802432,5.47302265094375,"649_5"
"391",651,1,6.31578912409676,0.079019535095994,5.37246160290458,"651_1"
"392",651,2,5.41933886191618,0.0727088440182938,5.379071864893,"651_2"
"393",651,3,4.15754114130821,0.0558917232593998,5.37785860681629,"651_3"
"394",651,4,3.40840032281271,0.0436080937823116,5.37465936323025,"651_4"
"395",651,5,4.74629414018946,0.0663659937348771,5.38434712466801,"651_5"
"396",652,1,8.04176017753652,0.0624496803991148,5.43516394593028,"652_1"
"397",652,2,9.56109126308155,0.0766919987213326,5.44769401580189,"652_2"
"398",652,3,4.48785492379184,0.0369874294918764,5.43180235208205,"652_3"
"399",652,4,5.62728429440702,0.0446482230632928,5.43085671006963,"652_4"
"400",652,5,6.78356222055024,0.0519306219325372,5.43061077257529,"652_5"
"401",653,1,6.0017465959875,0.0702057514245339,5.52738767609111,"653_1"
"402",653,2,7.30993821313169,0.0702507818028776,5.44201553684931,"653_2"
"403",653,3,5.12960884492347,0.0678528839173329,5.63748369584727,"653_3"
"404",653,4,3.58559841475215,0.0423326253779563,5.81187264987142,"653_4"
"405",653,5,4.40723107042467,0.0568736748771933,5.73555214656964,"653_5"
"421",657,1,4.4489769711991,0.0528305085862904,5.930575921535,"657_1"
"422",657,2,5.09496145345307,0.0621380149976916,6.05525000924364,"657_2"
"423",657,3,3.74696694257477,0.0420398848992571,5.87120364835807,"657_3"
"424",657,4,6.80092935468719,0.0660834242588718,6.13777719186307,"657_4"
"425",657,5,5.80079449513698,0.0650072950899943,6.09951506449542,"657_5"
"436",660,1,3.96030164200838,0.0333700640466067,5.7113516719994,"660_1"
"437",660,2,4.91452781976253,0.0435095614207566,5.68572671326971,"660_2"
"438",660,3,8.4527974878093,0.0772362786261839,5.42443233665035,"660_3"
"439",660,4,5.8679854791433,0.0522653217886877,5.65139130334399,"660_4"
"440",660,5,6.97171780151371,0.0595419531688677,5.49919884329979,"660_5"
"531",680,1,6.6365510687526,0.0590843171467911,5.88449745406861,"680_1"
"532",680,2,5.53333195449129,0.0528147134502159,5.88943953635878,"680_2"
"533",680,3,4.44961044911421,0.0417695485932284,5.94918682573005,"680_3"
"535",680,5,8.14078137624031,0.0686487065928065,5.9490469992284,"680_5"
"541",682,1,6.19018458072868,0.061458748809052,6.02406911187262,"682_1"
"542",682,2,7.35074198519543,0.0721971299611982,6.43482532759994,"682_2"
"543",682,3,3.83591012740175,0.0431175445871712,5.5611258013267,"682_3"
"544",682,4,5.3753411434744,0.0606079017085453,5.74159123688736,"682_4"
"545",682,5,4.6260537837091,0.0518150061412262,5.66071146609417,"682_5"
"556",685,1,6.33137841187518,0.0592214441597676,6.04800428574081,"685_1"
"557",685,2,4.74426472643976,0.0505841437602805,6.06505866838077,"685_2"
"558",685,3,5.50637132334957,0.0622282328431235,6.04741193295512,"685_3"
"559",685,4,3.92990913159762,0.0426348229024901,6.08471565560777,"685_4"
"560",685,5,7.58911090704394,0.071835517048423,5.98577401229028,"685_5"
"561",686,1,6.09370766099826,0.044324732933445,5.71831457433759,"686_1"
"562",686,2,8.45114458996791,0.0687668969019531,5.84072561522933,"686_2"
"563",686,3,7.27240131182876,0.055678931120103,5.7795799066326,"686_3"
"564",686,4,4.86712546168552,0.0351600928635034,5.65095501141233,"686_4"
"566",687,1,7.58478256151137,0.0600089470548355,6.33651520260525,"687_1"
"567",687,2,8.77672306013791,0.0734831039858932,6.32607037458287,"687_2"
"568",687,3,6.45012367208199,0.0484004524061717,6.33952401114292,"687_3"
"569",687,4,10.3887284937514,0.0900757902561854,6.31816165181747,"687_4"
"570",687,5,5.13323353474664,0.0375079801799774,6.35833226914774,"687_5"
"576",689,1,6.35794683693783,0.0621152558415134,6.12920359858369,"689_1"
"577",689,2,5.5457349306159,0.0625786990809529,6.06368404284852,"689_2"
"578",689,3,4.8972324170325,0.0583306265061586,6.08929877689907,"689_3"
"579",689,4,4.34329189758039,0.0494993794296337,6.07798212311726,"689_4"
"580",689,5,3.60106806900211,0.0371701076350624,6.133539816482,"689_5"
"581",690,1,6.92118573257266,0.0528808129174278,6.30176467359522,"690_1"
"582",690,2,9.70699359270444,0.0872009523876824,6.45383858244061,"690_2"
"583",690,3,5.93271861528264,0.0415403890990315,6.33516952668206,"690_3"
"584",690,4,8.04058874891987,0.0679934270499277,6.34621579078132,"690_4"
"585",690,5,4.83817292511916,0.0329161754026988,6.34515097001956,"690_5"
"606",695,1,7.77282281177608,0.0684876991748891,6.23255843129651,"695_1"
"607",695,2,3.89816166987776,0.0390955227421406,6.73228173948533,"695_2"
"608",695,3,6.54143688860097,0.0566185301425699,6.33564810740016,"695_3"
"609",695,4,5.54484703106147,0.049432414414398,6.52001666293317,"695_4"
"610",695,5,4.73586258352446,0.0441963639104262,6.58423243143729,"695_5"
"611",696,1,4.34918206479086,0.0492430913298397,7.04725768927803,"696_1"
"612",696,2,3.53718533619767,0.0401020007339564,7.10432605913156,"696_2"
"613",696,3,5.00313117597545,0.0563242125522575,6.98254111481113,"696_3"
"614",696,4,5.77888451339813,0.0621173294321413,6.92489349653814,"696_4"
"615",696,5,6.87539969647181,0.0695410949213309,6.78421045006577,"696_5"
"681",710,1,7.18393390166164,0.0547143784945795,5.40105476725177,"710_1"
"682",710,2,4.80343238016457,0.0370825275394965,5.40464135807403,"710_2"
"683",710,3,8.38774657745673,0.0701099143399258,5.40016010452171,"710_3"
"684",710,4,9.78621386108619,0.0866629482826759,5.40081833037349,"710_4"
"685",710,5,5.98092701628314,0.0454826179971054,5.40232454609937,"710_5"
"686",711,1,6.24271238180137,0.0467784740232351,5.52671936324971,"711_1"
"687",711,2,4.91033139295923,0.0360224277246744,5.52574169134702,"711_2"
"688",711,3,7.47204976687665,0.0588531414266581,5.52333218305761,"711_3"
"689",711,4,10.044328970257,0.091480274935673,5.54198030022707,"711_4"
"690",711,5,8.68161091148849,0.0723981804435146,5.53018107744111,"711_5"
