"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"86",414,1,3.36295209961905,0.0322210696618067,4.69669291607281,"414_1"
"87",414,2,6.0939563192456,0.057951805038882,4.63713606144306,"414_2"
"88",414,3,4.25504607605618,0.0407905674254538,4.67778304791498,"414_3"
"89",414,4,5.08115906331777,0.0489051748402524,4.65368139294329,"414_4"
"90",414,5,7.49459314656097,0.0699103497525699,4.53455546253436,"414_5"
"91",415,1,6.52361864085198,0.0726500686893643,4.74518000875689,"415_1"
"92",415,2,7.97839205942625,0.0926377659211427,4.66794946728059,"415_2"
"93",415,3,3.74585631313192,0.0348502476037554,4.90830593230075,"415_3"
"94",415,4,4.6883704332785,0.0450816714708844,4.85037595318121,"415_4"
"95",415,5,5.57165249062216,0.0584165155739283,4.79293814049145,"415_5"
"96",416,1,7.83402233787215,0.0668547436946725,4.79880610341,"416_1"
"97",416,2,6.48091925971422,0.0571702580597308,4.7992110426909,"416_2"
"98",416,3,4.67542917306972,0.0427048979334392,4.79897533206277,"416_3"
"99",416,4,3.72951511542733,0.0351630687212273,4.79860330627442,"416_4"
"100",416,5,5.5407633790038,0.0494676787342752,4.79941341869175,"416_5"
"101",417,1,5.30450896041574,0.0497516865116064,4.80098702996736,"417_1"
"102",417,2,6.20200122273969,0.0582454701411808,4.80246370903741,"417_2"
"103",417,3,3.67325963630919,0.0358803264958986,4.80038357169142,"417_3"
"104",417,4,4.51483678299579,0.0429662298257155,4.80059147000102,"417_4"
"105",417,5,7.32933645421599,0.0690057312248219,4.81537497417719,"417_5"
"111",419,1,3.99519206446615,0.0451474092133361,5.2451201393575,"419_1"
"112",419,2,5.91309635906836,0.0675983597019765,5.26132929810044,"419_2"
"113",419,3,8.41011951059949,0.101480797213099,5.273485198758,"419_3"
"114",419,4,4.99475275470241,0.056588987767351,5.25049690969549,"419_4"
"115",419,5,6.9594122457425,0.082309848427298,5.26768622300242,"419_5"
"126",422,1,6.66415761382013,0.0744061440895714,4.82545639537287,"422_1"
"127",422,2,5.69314278902511,0.0612000650776177,4.82958773359439,"422_2"
"128",422,3,4.84765471323033,0.0516708245193918,4.83605409661006,"422_3"
"129",422,4,8.10922113695182,0.102502450857759,4.81772167997132,"422_4"
"130",422,5,3.88232693819598,0.0429499129558658,4.85662839028002,"422_5"
"136",424,1,5.79452131875912,0.077363131848161,4.83147745725347,"424_1"
"137",424,2,4.90849483292857,0.0650791845010018,4.82229690845703,"424_2"
"138",424,3,8.20222537731847,0.113815603623609,4.81299105884218,"424_3"
"139",424,4,6.7934649648158,0.0932614587473055,4.83493881460513,"424_4"
"140",424,5,3.92434432862381,0.0536604498551801,4.81610133505658,"424_5"
"141",425,1,3.86084877853352,0.0598176786396974,5.43838971896322,"425_1"
"142",425,2,5.86867712953285,0.0997808951254527,5.40960803315728,"425_2"
"143",425,3,4.90422201271223,0.0807772086567892,5.41888207035537,"425_3"
"144",425,4,8.67135554184944,0.146017382490257,5.45153496045024,"425_4"
"145",425,5,6.97405503295386,0.116533400744585,5.40643037064322,"425_5"
"146",426,1,6.33276909937954,0.0851830356825974,4.82547395724041,"426_1"
"147",426,2,4.37046788121789,0.0574385323948025,4.8308027456455,"426_2"
"148",426,3,8.67700368438168,0.124465984429878,4.80915634924892,"426_3"
"149",426,4,5.41023287402771,0.070631825667839,4.82564962844258,"426_4"
"150",426,5,7.32064549484674,0.106287617094809,4.81790307771037,"426_5"
