"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"211",372,1,6.44285046023409,0.0701809114532279,NA,"372_1"
"212",372,2,3.84286166924882,0.0461843299069811,NA,"372_2"
"213",372,3,5.1346096897136,0.058895439195125,NA,"372_3"
"214",372,4,8.10912016990903,0.0928808554888697,NA,"372_4"
"215",372,5,2.49377156243365,0.0307608337104331,NA,"372_5"
"221",374,1,2.63107218621829,0.0399817108001578,NA,"374_1"
"222",374,2,6.25618179785536,0.080165189982062,NA,"374_2"
"223",374,3,7.89200757299296,0.096727703202681,NA,"374_3"
"224",374,4,3.94475035329257,0.0574448663257929,NA,"374_4"
"225",374,5,5.04259290906679,0.0675927989962512,NA,"374_5"
"236",377,1,7.90351772654851,0.0912790911828386,5.48263218834427,"377_1"
"237",377,2,4.3143987035423,0.0556991078311375,5.48713991769547,"377_2"
"238",377,3,3.14236562293869,0.0428474860468366,5.48736559139785,"377_3"
"239",377,4,5.32819672329664,0.0652194478133382,5.48568306010929,"377_4"
"240",377,5,6.43495154402383,0.0764559762321918,5.4817880794702,"377_5"
"241",378,1,6.27483618455569,0.0734497123895385,NA,"378_1"
"242",378,2,4.08557105624704,0.0531244231140284,NA,"378_2"
"243",378,3,5.09995458022639,0.0618894105004565,NA,"378_3"
"244",378,4,7.78224539652993,0.0910990077378787,NA,"378_4"
"245",378,5,2.8885082832838,0.0385236091868707,NA,"378_5"
"261",382,1,4.75699283587641,0.0437602714696692,NA,"382_1"
"262",382,2,8.80953604828999,0.0824377933210145,NA,"382_2"
"263",382,3,7.09597194855395,0.0646418416811964,NA,"382_3"
"264",382,4,5.8759590410015,0.0524535993244896,NA,"382_4"
"265",382,5,3.46755709592627,0.0323482670509849,NA,"382_5"
"291",388,1,8.27787847673408,0.0868734317612953,NA,"388_1"
"292",388,2,5.70393807007881,0.0547792559079113,NA,"388_2"
"293",388,3,4.65702513307562,0.0452706378196672,NA,"388_3"
"294",388,4,6.80784339304601,0.0662416752652455,NA,"388_4"
"295",388,5,3.37584037226169,0.0318224455368317,NA,"388_5"
"301",390,1,3.57954334225501,0.0294594504640885,NA,"390_1"
"302",390,2,8.42251326535791,0.0793440435064025,NA,"390_2"
"303",390,3,4.84756333579483,0.0395826989257798,NA,"390_3"
"304",390,4,6.97122476247165,0.0613513266910643,NA,"390_4"
"305",390,5,5.90756695729839,0.049385375141607,NA,"390_5"
