"LandisCode","Area","Longevity","Maturity","Shade","Fire","SeedEffDist","SeedMaxDist","VegProb","MinAgeVeg","MaxAgeVeg","PostFireRegen","LeafLongevity","WoodDecayRate","MortalityCurve","GrowthCurve","LeafLignin"
"ABIE.AMA","PM",400,25,5,1,100,150,0,0,0,"none",2,0.05,15,0,0.2
"ABIE.BAL","BSE",150,30,5,1,25,160,0,0,0,"none",3,0.062,25,0,0.2
"ABIE.BAL","AM",150,30,5,1,25,160,0,0,0,"none",3,0.062,25,0,0.2
"ABIE.BAL","BSW",150,30,5,1,25,160,0,0,0,"none",3,0.062,25,0,0.2
"ABIE.BAL","Acadian",150,30,5,1,25,160,0,0,0,"none",3,0.062,25,0,0.2
"ABIE.BAL","LSJ",150,30,5,1,25,160,0,0,0,"none",3,0.062,25,0,0.2
"ABIE.BAL","WestON",150,30,5,1,25,160,0,0,0,"none",3,0.062,25,0,0.2
"ABIE.GRA","PM",275,35,4,1,100,125,0,0,0,"none",2,0.05,15,0,0.2
"ABIE.LAS","MC",250,20,4,1,75,100,0,0,0,"none",2,0.02,15,0,0.2
"ABIE.LAS","PM",250,20,4,1,75,100,0,0,0,"none",2,0.02,15,0,0.2
"ACER.MAC","PM",200,10,4,1,100,200,1,10,200,"resprout",2,0.05,15,1,0.1
"ACER.RUB","BSE",150,10,3,2,100,200,0.5,10,100,"resprout",1,0.08,25,0,0.1
"ACER.RUB","AM",150,10,3,2,100,200,0.5,10,100,"resprout",1,0.08,25,0,0.1
"ACER.RUB","Acadian",150,10,3,2,100,200,0.5,10,100,"resprout",1,0.08,25,0,0.1
"ACER.RUB","LSJ",150,10,3,2,100,200,0.5,10,100,"resprout",1,0.08,25,0,0.1
"ACER.RUB","WestON",150,10,3,2,100,200,0.5,10,100,"resprout",1,0.08,25,0,0.1
"ACER.SAH","BSE",300,40,5,2,100,200,0.1,10,60,"resprout",1,0.08,15,1,0.1
"ACER.SAH","AM",300,40,5,2,100,200,0.1,10,60,"resprout",1,0.08,15,1,0.1
"ACER.SAH","Acadian",300,40,5,2,100,200,0.1,10,60,"resprout",1,0.08,15,1,0.1
"ACER.SAH","LSJ",300,40,5,2,100,200,0.1,10,60,"resprout",1,0.08,15,1,0.1
