Code,commonName,scientificShort,scientificLong,Farrar1995.,lifeForm,LandisCode,repVeg,picusRef,color,BSE,AM,BSW,BP,Acadian,MC,LSJ,WestON,PM,BC
301,Amabilis fir,Abies amabilis,Abies amabilis (Dougl. ex Loud.) Dougl. ex. J. Forbes,88,LT,ABIE.AMA,0,Abies_amabilis,#3D4D22,0,0,0,0,0,0,0,0,1,1
302,Balsam fir,Abies balsamea,Abies balsamea (L.) Mill.,84,MT,ABIE.BAL,0,Abies_balsamea,#658038,1,1,1,0,1,0,1,1,0,1
303,Grand fir,Abies grandis,Abies grandis (Dougl. ex D. Don) Lindl.,90,MT-LT,ABIE.GRA,0,Abies_grandis,#8DB34E,0,0,0,0,0,0,0,0,1,0
304,Subalpine fir (or alpine fir),Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,86,MT-LT,ABIE.LAS,0,Abies_lasiocarpa,#B6E665,0,0,0,0,0,1,0,0,1,1
1403,Bigleaf maple,Acer macrophyllum,Acer macrophyllum Pursh,138,MT,ACER.MAC,NA,Acer_macrophyllum,#4D0000,0,0,0,0,0,0,0,0,1,0
1405,Red maple,Acer rubrum,Acer rubrum L.,140,MT,ACER.RUB,1,Acer_rubrum,#990000,1,1,0,0,1,0,1,1,0,0
1401,Sugar maple,Acer saccharum,Acer saccharum Marsh.,134,MT-LT,ACER.SAH,1,Acer_saccharum,#E60000,1,1,0,0,1,0,1,1,0,0
1301,Yellow birch,Betula alleghaniensis,Betula alleghaniensis Britt.,294,MT,BETU.ALL,1,Betula_alleghaniensis,#4D3A0B,1,1,0,0,1,0,1,1,0,0
1303,White birch,Betula papyrifera,Betula papyrifera Marsh.,284,ST-MT,BETU.PAP,1,Betula_papyrifera,#E5AE20,1,1,1,1,1,1,1,1,1,1
1001,Yellow cypress,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis (D. Don) Spach,28,MT (-LT),CHAM.NOO,NA,Chamaecyparis_nootkatensis,#9AC0CD,0,0,0,0,0,0,0,0,1,0
2000,Beech,Fagus grandifolia,Fagus grandifolia Ehrh.,268,MT,FAGU.GRA,1,Fagus_grandifolia,#CD6839,1,1,0,0,1,0,1,0,0,0
3401,White ash,Fraxinus americana,Fraxinus americana L.,162,MT,FRAX.AME,NA,Fraxinus_americana,#3A4D3A,0,0,0,0,1,0,0,0,0,0
3402,Black ash,Fraxinus nigra,Fraxinus nigra Marsh.,166,ST,FRAX.NIG,NA,Fraxinus_nigra,#ADE6AD,0,0,0,0,0,0,0,1,0,0
602,Tamarack,Larix laricina,Larix laricina (Du Roi) K. Koch,74,MT,LARI.LAR,0,Larix_laricina,#4D4A2B,1,1,1,1,1,0,1,1,0,0
604,Subalpine larch,,Larix lyallii Parl.,72,ST,LARI.LYA,0,NA,#999456,0,0,0,0,0,0,0,0,0,0
603,Western larch,Larix occidentalis,Larix occidentalis Nutt.,70,VLT,LARI.OCC,0,Larix_occidentalis,#E5DE81,0,0,0,0,0,1,0,0,0,0
100,Spruce,,Picea,95,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
103,Norway spruce *,,Picea abies (L.) Karst.,108,LT,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
107,Black and red spruce,,Picea mariana (Mill.) BSP and Picea rubens Sarg.,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
108,Red and white spruce,,Picea rubens Sarg. and Picea glauca (Moench) Voss,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
109,Other spruce,,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
200,Pine,,Pinus,40,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
207,Austrian pine *,,Pinus nigra Arnold,64,MT,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
